orphacode,Prevalence,Inheritance,Age of onset,Synonym
58,Unknown,Autosomal dominant,All ages,AxD
206,-, - ,,
118,Unknown,Autosomal recessive,"Adolescent, Adult, Childhood, Infancy, Neonatal",Beta-mannosidase deficiency
93,Unknown,Autosomal recessive,Childhood,Aspartylglucosaminidase deficiency
61,1-9 / 1 000 000,Autosomal recessive,"Childhood, Infancy, Neonatal",Lysosomal alpha-D-mannosidase deficiency
141,Unknown,Autosomal recessive,"Childhood, Infancy, Neonatal",ACY2 deficiency
585,1-9 / 1 000 000,Autosomal recessive,"Adolescent, Antenatal, Childhood, Infancy, Neonatal",MSD
213,1-9 / 100 000,Autosomal recessive,"Adolescent, Adult, Childhood, Infancy",Protein defect of cystin transport
333,<1 / 1 000 000,Autosomal recessive,"Antenatal, Childhood, Infancy, Neonatal",Acid ceramidase deficiency
349,Unknown,Autosomal recessive,"Childhood, Infancy",Alpha-L-fucosidase deficiency
367,Unknown,Autosomal recessive,All ages,GSD due to glycogen branching enzyme deficiency
366,Unknown,Autosomal recessive,"Childhood, Infancy",GSDIII
365,Unknown,Autosomal recessive,"Adolescent, Adult, Antenatal, Childhood, Infancy, Neonatal","Alpha-1,4-glucosidase acid deficiency"
369,Unknown,Autosomal recessive,Childhood,GSD due to liver glycogen phosphorylase deficiency
371,<1 / 1 000 000,Autosomal recessive,"Adolescent, Adult, Childhood, Infancy",GSD due to muscle phosphofructokinase deficiency
368,Unknown,Autosomal recessive,"Adolescent, Adult, Childhood",GSD due to muscle glycogen phosphorylase deficiency
447,1-9 / 100 000,Not applicable,All ages,Marchiafava-Micheli disease
487,1-9 / 100 000,Autosomal recessive,"Adolescent, Adult, Childhood, Infancy, Neonatal",GALC deficiency
535,1-5 / 10 000,Multigenic/multifactorial,All ages,
583,1-9 / 1 000 000,Autosomal recessive,Childhood,ARSB deficiency
812,<1 / 1 000 000,Autosomal recessive,"Adolescent, Childhood",Cherry-red spot-myoclonus syndrome
576,<1 / 1 000 000,Autosomal recessive,"Antenatal, Neonatal",I-cell disease
577,1-5 / 10 000,Autosomal recessive,Childhood,Pseudo-Hurler polydystrophy
578,Unknown,Autosomal recessive,Infancy,
2912,<1 / 1 000 000,Not applicable,Childhood,
771,-, - ,,NON RARE IN EUROPE: Ulcerative proctitis
825,-, - ,,NON RARE IN EUROPE: Bechterew syndrome
801,1-5 / 10 000,Not applicable,All ages,
584,<1 / 1 000 000,Autosomal recessive,"Adolescent, Antenatal, Childhood, Infancy, Neonatal",Beta-glucuronidase deficiency
796,1-9 / 1 000 000,Autosomal recessive,"Adolescent, Adult, Childhood, Infancy",
856,-, - ,,NON RARE IN EUROPE: Tourette disease
461,1-5 / 10 000,X-linked recessive,Neonatal,RXLI
586,1-5 / 10 000,Autosomal recessive,All ages,CF
846,Unknown,Autosomal recessive,All ages,
881,1-5 / 10 000,"Not applicable, Unknown","Antenatal, Childhood, Infancy, Neonatal","45,X syndrome"
262,1-9 / 100 000,X-linked recessive,"Adolescent, Adult, Childhood","Severe dystrophinopathy, Duchenne and Becker type"
95,1-9 / 100 000,Autosomal recessive,"Adolescent, Childhood",FA
848,1-9 / 1 000 000,"Autosomal dominant, Autosomal recessive","Childhood, Infancy",
261,1-9 / 1 000 000,"Autosomal dominant, Autosomal recessive, X-linked recessive",Childhood,EDMD
480,1-9 / 100 000,"Autosomal recessive, Mitochondrial inheritance, Not applicable","Adolescent, Adult, Childhood, Infancy",
269,1-9 / 100 000,Autosomal dominant,All ages,Landouzy-Dejerine dystrophy
597,1-9 / 1 000 000,Autosomal dominant,Childhood,
607,-,"Autosomal dominant, Autosomal recessive, Not applicable",All ages,NEM
551,Unknown,Mitochondrial inheritance,"Adult, Childhood",Fukuhara syndrome
550,Unknown,"Mitochondrial inheritance, Not applicable","Adolescent, Adult, Childhood","Mitochondrial encephalopathy, lactic acidosis, and stroke-like episodes"
593,Unknown,"Autosomal dominant, Autosomal recessive",Adult,MFM
614,1-9 / 100 000,"Autosomal dominant, Autosomal recessive","Adolescent, Adult, Childhood, Infancy",Myotonia congenita
684,Unknown,Autosomal dominant,"Adolescent, Childhood, Infancy, Neonatal",Paramyotonia congenita
273,1-5 / 10 000,Autosomal dominant,"Adolescent, Adult, Antenatal, Childhood, Infancy, Neonatal",Myotonic dystrophy type 1
72,1-9 / 100 000,"Autosomal dominant, Not applicable",Infancy,
324,1-5 / 10 000,"X-linked dominant, X-linked recessive","Adolescent, Adult, Childhood",Alpha-galactosidase A deficiency
731,Unknown,Autosomal recessive,All ages,AR-PKD
778,1-9 / 100 000,X-linked dominant,Infancy,
892,1-9 / 100 000,Autosomal dominant,"Adolescent, Adult, Childhood",Familial cerebelloretinal angiomatosis
1941,1-9 / 100 000,"Multigenic/multifactorial, Unknown",Adolescent,JAE
802,-, - ,,
